Response Model,Method,Average Time,Time Std,ADT (min),SDDT (min),TDT (min),APDT (%),SR (%)
Bounded,Naive,10.813,4.025671496781624,0.42,1.5419468213917107,420.0,6.130119047619048,7.1
Perfect,Naive,11.213,4.766301606067329,0.82,1.1016351483136329,820.0,6.659995121669136,46.6
Bounded,Random,11.101,3.937105408799719,0.708,1.6311762627012447,708.0,10.06001144280556,18.099999999999998
Perfect,Random,11.691,4.837511653732733,1.298,1.7202313797858706,1298.0,12.021641039390904,53.300000000000004
Bounded,WGAN,10.937,3.938912413344577,0.544,1.6480485429743867,544.0,8.474087301587302,11.799999999999999
Perfect,WGAN,11.66,4.697062912076013,1.267,1.2295165716654657,1267.0,11.890761071405674,66.60000000000001
