Response Model,Method,Average Time,Time Std,ADT (min),SDDT (min),TDT (min),APDT (%),SR (%)
Bounded,Naive,24.780636722599667,9.249008775899577,0.348990007010481,2.451995597496762,348.990007010481,1.835250630032025,2.1
Perfect,Naive,25.533204470862803,9.781138359505698,1.101557755273617,2.1822344262867905,1101.5577552736172,4.146830128284062,60.4
Bounded,Random,25.376364994103344,8.74795220280102,0.9447182785141591,2.846485505833554,944.7182785141591,6.185583669665529,12.2
Perfect,Random,26.563088554486473,9.800797680282791,2.131441838897291,3.697274111500234,2131.441838897291,9.335268373591655,62.5
Bounded,WGAN-BR,28.389575694150214,8.460583692316526,3.957928978561031,4.608774429490909,3957.9289785610313,21.36063618058346,84.3
Perfect,WGAN-BR,28.55657011749429,8.722838546181542,4.124923401905102,4.535503208572454,4124.923401905102,21.78126939554931,100.0
