Response Model,Method,Average Time,Time Std,ADT (min),SDDT (min),TDT (min),APDT (%),SR (%)
Bounded,Naive,10.813,4.025671496781624,0.42,1.5419468213917107,420.0,6.130119047619048,7.1
Perfect,Naive,11.213,4.766301606067329,0.82,1.1016351483136329,820.0,6.659995121669136,46.6
Bounded,Random,11.145,3.9882295570841957,0.752,1.6800285711856213,752.0,10.35698752228164,18.9
Perfect,Random,11.603,4.783449696610178,1.21,1.6437457224278942,1210.0,11.211504815535642,52.0
Bounded,WGAN-BR,13.2,4.034848200366403,2.807,1.7560612176117325,2807.0,32.794639608327685,99.6
Perfect,WGAN-BR,13.204,4.045044375529148,2.811,1.7507938199571074,2811.0,32.81203091267552,100.0
