Response Model,Method,Average Time,Time Std,ADT (min),SDDT (min),TDT (min),APDT (%),SR (%)
Bounded,Naive,7.205383008657635,3.8283241102418755,0.008734192534781138,0.12327966142363032,26.202577604343414,0.45863493567682584,0.5
Perfect,Naive,7.330255202932212,3.8059605078444108,0.13360638680935874,0.18501558120952652,400.8191604280762,2.8909569517871,96.03333333333333
Bounded,Random,7.204790064081581,3.82915992552584,0.008141247958728734,0.10734524487370245,24.4237438761862,0.4070489289650156,0.6666666666666667
Perfect,Random,7.354180249761074,3.7835648351002704,0.15753143363822125,0.25439787721406343,472.5943009146638,3.7075892955351555,96.43333333333334
Bounded,WGAN,7.2126808069198916,3.8359438581501006,0.016031990797038036,0.13945161665906913,48.0959723911141,0.6052245203574645,14.866666666666667
Perfect,WGAN,7.327270266663866,3.808092631594945,0.13062145054101332,0.18518135698642885,391.86435162303997,2.8274315452130176,92.83333333333333
