Response Model,Method,Average Time,Time Std,ADT (min),SDDT (min),TDT (min),APDT (%),SR (%)
Bounded,Naive,6.600202210850497,3.215671878224493,0.008903111111111037,0.12166344613634153,26.709333333333113,0.46805041585330254,0.5333333333333333
Perfect,Naive,6.732291635329832,3.1880548474529364,0.1409925355904477,0.17622267770406264,422.97760677134306,3.1899777878173894,96.03333333333333
Bounded,Random,6.602762723611368,3.2141903926743103,0.011463623871982047,0.12323964396247762,34.39087161594614,0.5172136619598645,1.0
Perfect,Random,6.755100340849851,3.1750001608818708,0.16380124111046637,0.2858234073749873,491.40372333139914,3.9288025551535193,93.76666666666667
Bounded,WGAN-BR,6.64850374822854,3.1630177971306748,0.05720464848915573,0.236652515981306,171.61394546746718,2.3709909242725633,8.366666666666667
Perfect,WGAN-BR,6.7814768321164625,3.1483230615957054,0.19017773237707714,0.3170973015972189,570.5331971312314,5.016299299740849,100.0
