Response Model,Method,Average Time,Time Std,ADT (min),SDDT (min),TDT (min),APDT (%),SR (%)
Bounded,Naive,7.205383008657635,3.8283241102418755,0.008734192534781138,0.12327966142363031,26.202577604343414,0.45863493567682584,0.5
Perfect,Naive,7.330255202932212,3.805960507844411,0.13360638680935874,0.18501558120952652,400.8191604280762,2.8909569517871,96.03333333333333
Bounded,Random,7.207530866118546,3.8265560271564723,0.010882049995692304,0.1242925255265398,32.64614998707691,0.5056746235064032,0.8333333333333334
Perfect,Random,7.353041874816801,3.7847536926662855,0.15639305869394907,0.25034586909145395,469.17917608184723,3.702388598715801,96.8
Bounded,WGAN-BR,7.269911497366686,3.761174149552307,0.0732626812438337,0.2592438970967507,219.7880437315011,2.890330379942096,14.833333333333334
Perfect,WGAN-BR,7.377469902321856,3.757142980304107,0.18082108619900455,0.2929406197080903,542.4632585970137,4.781563139772921,100.0
