Response Model,Method,Average Time,Time Std,ADT (min),SDDT (min),TDT (min),APDT (%),SR (%)
Bounded,Naive,18.87252282882438,14.550167767648626,0.27807532370012167,1.3509219799561873,834.225971100365,3.949097304343627,4.433333333333334
Perfect,Naive,19.43638765616713,14.73634737565216,0.8419401510428723,1.2067829124050506,2525.820453128617,5.62699025979633,78.3
Bounded,Random,18.906007439651,14.53471249244994,0.3115599345267361,1.2840703021929003,934.6798035802083,4.162876901861931,7.066666666666667
Perfect,Random,19.788830371509732,14.614633510985144,1.1943828663854696,1.8047558332294233,3583.148599156409,9.124128747715561,80.66666666666666
Bounded,WGAN,19.033394171303783,14.545156348941322,0.438946666179525,1.644365150728488,1316.839998538575,5.708150300318267,11.5
Perfect,WGAN,19.485311836833677,14.665086852708383,0.8908643317094158,1.2376202408650099,2672.5929951282474,6.721022047896481,77.2
