Response Model,Method,Average Time,Time Std,ADT (min),SDDT (min),TDT (min),APDT (%),SR (%)
Bounded,Naive,18.87252282882438,14.550167767648624,0.27807532370012167,1.3509219799561873,834.2259711003651,3.949097304343627,4.433333333333334
Perfect,Naive,19.436387656167135,14.73634737565216,0.8419401510428723,1.2067829124050506,2525.820453128617,5.626990259796331,78.3
Bounded,Random,18.890525602780208,14.538941157790795,0.2960780976559477,1.2344189280288975,888.2342929678432,4.11048400502732,6.800000000000001
Perfect,Random,19.803729590089333,14.61052991737883,1.2092820849650723,1.8083319587153022,3627.8462548952166,9.239191808675178,81.23333333333333
Bounded,WGAN-BR,20.116016480018068,14.031464677979029,1.5215689748938075,2.187387014476935,4564.706924681423,16.364099757539435,62.8
Perfect,WGAN-BR,20.422115064419874,14.214836407246876,1.827667559295615,2.1269309640663976,5483.002677886845,17.64686851372566,100.0
