Response Model,Method,Average Time,Time Std,ADT (min),SDDT (min),TDT (min),APDT (%),SR (%)
Bounded,Naive,15.918993333333331,11.924149925813952,0.19016,1.0819760199437571,570.48,2.9498214260432287,3.3000000000000003
Perfect,Naive,16.53164,12.105277005383506,0.8028066666666667,0.9697321911859078,2408.42,6.121293013869925,79.76666666666667
Bounded,Random,15.927040000000002,11.907657456656478,0.19820666666666667,0.9365273713506129,594.62,3.1625568921378506,5.566666666666667
Perfect,Random,16.846600000000002,12.005169185535594,1.1177666666666666,1.5665998464473592,3353.2999999999997,9.646520218505463,81.06666666666666
Bounded,WGAN-BR,16.833823333333335,11.53074717796389,1.10499,1.8695909534530095,3314.97,14.053769709299686,48.86666666666667
Perfect,WGAN-BR,17.32525,11.727327248958591,1.5964166666666666,1.788591529590315,4789.25,16.843186115804745,100.0
