Response Model,Method,Average Time,Time Std,ADT (min),SDDT (min),TDT (min),APDT (%),SR (%)
Bounded,Naive,11.21163954173333,4.139365770496537,0.002,0.06321392251711644,6.0,0.0870270270256158,0.1
Perfect,Naive,11.707044785428332,4.082640806547289,0.4974052436950002,0.4601690258835615,1492.2157310850007,5.422745018979493,95.76666666666667
Bounded,Random,11.235195171842667,4.109969227375343,0.02555563010933333,0.2466761830945433,76.666890328,0.6069878972960766,1.2333333333333334
Perfect,Random,11.730720948237,4.030999022735006,0.5210814065036669,0.5312924565457933,1563.2442195110007,6.144753580997482,93.73333333333333
Bounded,WGAN-BR,11.363829889680332,3.9499784789086427,0.15419034794699996,0.5355218010314781,462.5710438409999,3.2763328183751237,10.9
Perfect,WGAN-BR,11.799514733776668,3.9486300350121124,0.5898751920433335,0.5840252859069474,1769.6255761300006,7.629918498997341,100.0
