Response Model,Method,Average Time,Time Std,ADT (min),SDDT (min),TDT (min),APDT (%),SR (%)
Bounded,Naive,11.21163954173333,4.139365770496537,0.002,0.06321392251711644,6.0,0.0870270270256158,0.1
Perfect,Naive,11.707044785428332,4.08264080654729,0.4974052436950002,0.46016902588356146,1492.2157310850007,5.422745018979492,95.76666666666667
Bounded,Random,11.233803768705,4.108972486482508,0.024164226971666664,0.2352352830654576,72.492680915,0.6489519885149394,1.2
Perfect,Random,11.731881369703997,4.029791552472952,0.5222418279706669,0.5186241290758906,1566.7254839120005,6.159005430781199,94.3
Bounded,WGAN,11.250498658938334,4.148818750788214,0.0408591172050001,0.2731696308911784,122.5773516150003,0.7523541984221065,7.533333333333333
Perfect,WGAN,11.652249413520336,4.147812323133675,0.4426098717870002,0.43787879610252844,1327.8296153610006,4.515471521719849,89.63333333333333
